Word,Synonym,Haiku
ABASH,Embarrass,"Cheeks flush red with shame / Confidence retreats inside / Pride meets its defeat"
ABOIL,Bubbling,"Water churns with heat / Agitation reaches peak / Turmoil in the pot"
ABUZZ,Humming,"Activity swarms / Excitement fills every space / Energy alive"
ACHED,Hurt,"Pain settled in deep / Body remembered the strain / Soreness lingered on"
ACHOO,Sneeze,"Sudden burst of air / Nose announces its distress / Bless you follows quick"
ACING,Excelling,"Perfect marks achieved / Mastery on full display / Success without fail"
ACTED,Performed,"Stage received the role / Behavior shaped the moment / Pretense became real"
ADDED,Included,"Sum grew with the new / Contribution joined the whole / More than was before"
ADDER,Snake,"Venomous and still / Slithering through British grass / Danger coiled tight"
ADDLE,Confuse,"Mind becomes the fog / Thoughts tangle beyond repair / Clarity has fled"
ADIEU,Goodbye,"French farewell spoken / Parting words with elegance / Until we meet again"
ADIOS,Farewell,"Spanish goodbye calls / Departure with warmth expressed / See you down the road"
ADOBO,Stew,"Filipino feast / Vinegar and soy combine / Comfort in a bowl"
AEGIS,Protection,"Shield guards from above / Sponsorship provides cover / Safety guaranteed"
AERIE,Nest,"Eagle's high-up home / Cliffside dwelling built with care / Sky-bound sanctuary"
AFORE,Before,"In times now long past / Earlier than present day / What came first remains"
AGAVE,Succulent,"Desert plant waits / Tequila's patient mother / Spiky leaves hold sweet"
AGITA,Anxiety,"Stomach churns with stress / Italian worry takes hold / Nerves won't settle down"
AHOLD,Grip,"Grasping something tight / Contact finally achieved / Holding on secure"
AIDED,Helped,"Assistance arrived / Support made the difference / Kindness lent a hand"
AILED,Suffered,"Sickness took its toll / Something troubled deep within / Health was compromised"
AIMED,Targeted,"Focus found its mark / Direction chosen with care / Purpose set in sight"
AIOLI,Sauce,"Garlic meets the oil / Mediterranean delight / Creamy dip awaits"
AIRED,Broadcast,"Waves carried the show / Transmission reached the masses / Freshness filled the room"
AIRER,Rack,"Laundry dries on frame / Clothes hang in the patient wait / Moisture leaves the cloth"
ALDER,Tree,"Riverside it grows / Wood that loves the wetland soil / Catkins in the spring"
ALIAS,Pseudonym,"Name hides the real one / Identity concealed here / Cover story holds"
ALOHA,Greeting,"Hawaiian warmth / Hello goodbye and love / Spirit of the isles"
AMARO,Liqueur,"Bitter herbs infuse / Italian digestive waits / Complex flavors bloom"
AMBIT,Scope,"Boundaries defined / Range of influence measured / Limits clearly set"
AMIGO,Friend,"Spanish friendship speaks / Companion walks beside you / Bond across the tongue"
AMINO,Acid,"Building blocks of life / Proteins form from these small chains / Chemistry of us"
AMOUR,Love,"French passion ignites / Romance spoken tenderly / Heart's deep affection"
AMPED,Excited,"Energy cranked high / Enthusiasm overflows / Ready for the rush"
AMUCK,Wild,"Running without check / Chaos unleashed everywhere / Control abandoned"
ANCHO,Chili,"Dried poblano waits / Mild heat with fruity richness / Mexican flavor"
ANISE,Spice,"Licorice taste blooms / Star-shaped or seed form offered / Distinctive and bold"
ANNAL,Record,"History written / Yearly chronicle maintained / Past preserved in text"
ANTSY,Restless,"Cannot sit still now / Impatience squirms in the seat / Fidgeting begins"
APACE,Quickly,"Speed maintains its pace / Progress moves along swiftly / Time does not slow down"
ARCED,Curved,"Path bent through the air / Electricity jumped gaps / Graceful trajectory"
ARGON,Gas,"Noble element / Inert and filling light bulbs / Atmosphere's small part"
ARGOT,Slang,"Insider language / Group speaks in coded phrases / Outsiders confused"
ARMED,Equipped,"Weapons at the ready / Prepared for confrontation / Defense or attack"
ASHED,Burned,"Cigarette dropped gray / Fire left its dusty remains / Consumed by the flame"
ASKED,Inquired,"Question left the lips / Information was requested / Curiosity spoke"
ASKER,Questioner,"One who seeks to know / Inquiry comes from this one / Answers are pursued"
ASPEN,Tree,"White bark catches light / Leaves tremble in softest breeze / Mountain beauty stands"
ASPIC,Gelatin,"Savory jelly molds / Retro cuisine preserved here / Meat suspended clear"
ASTER,Flower,"Star-shaped petals spread / Autumn garden's late bright bloom / Purple beauty waits"
ASTIR,Active,"Movement has begun / Waking from the quiet still / Stirring into life"
AUGER,Drill,"Spiral blade digs deep / Boring holes through earth or wood / Twisting excavation"
AURAL,Hearing,"Of the ear it speaks / Sound perception indicated / Listening defined"
AVAST,Stop,"Nautical command / Cease what you are doing now / Sailors halt at once"
BABKA,Bread,"Swirled with chocolate / Eastern European sweet / Braided dough delights"
BAKED,Cooked,"Oven heat transformed / Dry warmth changed the raw to done / Golden crust emerged"
BALDY,Hairless,"Scalp shines without hair / Follicles gave up the fight / Smooth dome on display"
BALED,Bundled,"Hay compressed in blocks / Wire or twine holds tight the stack / Harvest packed away"
BALKY,Stubborn,"Refusing to move / Obstinate beyond reason / Cooperation gone"
BANDY,Exchange,"Words tossed back and forth / Curved legs bowing outward / Discussion volleys"
BARED,Exposed,"Covering removed / What was hidden now revealed / Nakedness displayed"
BARER,Emptier,"Less adorned than that / Stripped down further than before / More exposed it stands"
BASED,Founded,"Foundation was set / Headquarters established here / Grounded in the place"
BATED,Held,"Breath suspended tight / Anticipation gripped hard / Waiting without air"
BATIK,Fabric,"Wax resists the dye / Indonesian art on cloth / Patterns emerge bold"
BAYED,Howled,"Hound voice filled the night / Deep prolonged call echoed far / Hunt announced itself"
BEBOP,Jazz,"Complex rhythms fly / Improvisation runs free / Forties music swings"
BEFOG,Obscure,"Mist clouds up the view / Confusion settles in thick / Clarity now lost"
BEGOT,Fathered,"Offspring was produced / Generation came from this / Life passed to the next"
BEIGE,Tan,"Neutral tone persists / Neither white nor brown quite yet / Safe color choice made"
BENDY,Flexible,"Easily it curves / Rigidity not the style / Pliable nature"
BESOT,Intoxicate,"Drink clouds the judgment / Infatuation takes hold / Reason overcome"
BIDED,Waited,"Time was passed with care / Patience held until ready / Moment was awaited"
BIDET,Fixture,"Water cleanses there / Bathroom hygiene European / Stream refreshes skin"
BIKED,Pedaled,"Two wheels carried far / Legs pumped through the journey / Cycling completed"
BIKER,Cyclist,"Rider takes the road / Motorcycle or pedal power / Journey on two wheels"
BILGY,Foul,"Ship's bottom smell / Stagnant water odor / Nautical mustiness"
BIPED,Walker,"Two legs carry weight / Upright locomotion style / Humans qualify"
BIPOD,Stand,"Two legs support it / Rifle steadied for the shot / Stability base"
BITER,Attacker,"Teeth sink in the flesh / One who chomps down on targets / Aggressive with jaws"
BITSY,Tiny,"Itsy goes before / Smallest size imaginable / Miniature defined"
BLASE,Unimpressed,"Been there done that mood / Nothing excites anymore / Indifference reigns"
BLING,Jewelry,"Flashy gems on show / Hip hop's sparkling display / Wealth made visible"
BOCCE,Game,"Italian balls roll / Lawn game of precision aim / Close to pallino"
BODED,Foretold,"Omen indicated / Signs pointed to what would come / Portent was observed"
BOFFO,Successful,"Box office smash hit / Excellent beyond measure / Outstanding review"
BOGEY,Score,"One over par made / Golf's minor disappointment / Could have been better"
BOGGY,Marshy,"Wet ground sinks the foot / Swampy terrain everywhere / Water-logged soil"
BOGIE,Phantom,"Spook in the shadows / Unidentified threat lurks / Specter undefined"
BOGUS,Fake,"Not the real thing here / Authenticity is lacking / Counterfeit exposed"
BOING,Bounce,"Spring sound effect made / Cartoon physics announced / Rebound vocalized"
BOLUS,Mass,"Chewed food ball travels / Medical dose delivered / Rounded lump of stuff"
BONED,Deboned,"Skeleton removed / Fish prepared without the bones / Structure taken out"
BONER,Blunder,"Embarrassing mistake / Error obvious to all / Foolish slip occurred"
BONNY,Pretty,"Scottish beauty shines / Pleasant and attractive seen / Fair and good to view"
BOOED,Jeered,"Crowd showed displeasure / Disapproval vocalized / Performance rejected"
BORED,Weary,"Interest departed / Nothing holds attention now / Tedium has won"
BORON,Element,"Atomic five waits / Metalloid in compounds / Chemistry's building block"
BOSON,Particle,"Force carrier spins / Physics names this quantum thing / Higgs made it famous"
BOWED,Bent,"Curve formed under strain / Reverence shown through the gesture / Head inclined in respect"
BOWER,Arbor,"Leafy shelter waits / Garden retreat shaded well / Nature's private room"
BOXED,Contained,"Cardboard held it in / Confined within the corners / Packaged for transport"
BRAVA,Bravo,"Feminine acclaim / Italian applause rings out / Performance praised well"
BRIER,Thorny,"Prickly plant grows wild / Pipe made from this root wood / Scratches those who pass"
BRONC,Horse,"Untamed mount bucks hard / Rodeo challenge awaits / Cowboy tries to stay"
BRUSK,Curt,"Manner short and rough / Politeness not the priority / Abrupt interaction"
BULGY,Swollen,"Protrusion shows through / Surface pushed out from within / Rounded expansion"
BUMPY,Rough,"Surface has no smooth / Turbulence in the journey / Jolting ride ahead"
BURKA,Garment,"Full coverage worn / Islamic modesty dress / Face and form concealed"
BURRO,Donkey,"Small pack animal / Mexican helper carries / Sturdy beast of burden"
BURSA,Sac,"Fluid cushions joint / Inflammation causes pain / Body's padding place"
BUSTY,Curvy,"Chest prominently sized / Endowed with amplitude there / Figure well defined"
BUZZY,Vibrating,"Humming with the sound / Energy electric hums / Excitement trembles"
BYWAY,Road,"Secondary path / Less traveled route awaits / Off the main highway"
CADGE,Beg,"Mooching for a handout / Borrowing without return / Scrounging what you can"
CADRE,Group,"Core team assembled / Trained nucleus of members / Elite unit formed"
CAGED,Confined,"Bars held in the captive / Freedom taken away here / Imprisoned creature"
CAKED,Crusted,"Layer hardened on / Dried and stuck in place now / Buildup won't come off"
CALVE,Birth,"Ice breaks from glacier / Cow delivers its young / Separation comes"
CAMPY,Theatrical,"Over the top style / Deliberately tacky charm / Exaggerated fun"
CANED,Beat,"Struck with the rod / Rattan furniture made / Punishment delivered"
CAPED,Cloaked,"Wearing the flowing cloth / Superhero style displayed / Garment on shoulders"
CAPRI,Pants,"Cropped at the calf length / Italian isle named these / Summer fashion choice"
CARED,Concerned,"Attention was given / Feelings mattered deeply / Investment of heart"
CARET,Symbol,"Insertion mark made / Proofreader's upward arrow / Edit indicator"
CARNY,Worker,"Carnival employee / Traveling show's staff member / Midway operator"
CAROM,Bounce,"Ricochet angle / Billiard ball rebounds off / Indirect contact"
CARTE,Menu,"Blanche gives freedom full / French for card or list of foods / Options laid before"
CASED,Surveyed,"Location was studied / Criminal preparation done / Sizing up the joint"
CAVED,Collapsed,"Gave in to pressure / Structure fell upon itself / Resistance ended"
CAWED,Called,"Crow voice filled the air / Harsh bird sound echoed around / Raucous announcement"
CEDED,Surrendered,"Territory given / Control was passed to another / Yielding what was held"
CELEB,Star,"Famous person shines / Celebrity abbreviated / Public figure known"
CHAAT,Snack,"Indian street food / Savory spicy tangy mix / Flavors explode bright"
CHARY,Cautious,"Careful and wary / Reluctant to take the risk / Hesitant approach"
CHEEP,Chirp,"Baby bird voice calls / Small soft sound from tiny throat / Nestling speaks up"
CHEMO,Treatment,"Cancer therapy / Chemicals attack disease / Medicine's hard fight"
CHEWY,Tough,"Requires much chewing / Texture resists the bite / Jaw gets a workout"
CHIMP,Ape,"Closest primate kin / Intelligence in the eyes / Jungle family"
CHINO,Pants,"Khaki cotton twill / Casual trouser standard / Preppy wardrobe staple"
CHIVE,Herb,"Onion's mild cousin / Green tubes garnish the dish / Delicate flavor"
CHOMP,Chew,"Biting down with force / Vigorous mastication / Eating audibly"
CITED,Referenced,"Source was credited / Evidence was provided / Authority invoked"
CIVET,Mammal,"Coffee beans passed through / Nocturnal cat-like creature / Musk producer lives"
CLADE,Group,"Evolutionary branch / Common ancestor shared / Taxonomy's cluster"
CLIME,Climate,"Region's weather type / Poetic word for climate / Zone of temperature"
CLOMP,Stomp,"Heavy footsteps fall / Loud walking cannot be helped / Boots announce arrival"
CLUNK,Thud,"Heavy dull sound made / Object dropped without grace / Impact resonates"
COCKY,Arrogant,"Confidence excess / Swagger beyond what is earned / Pride precedes the fall"
CODED,Encrypted,"Message was disguised / Programming language written / Meaning hidden deep"
CODER,Programmer,"Writing the software / Lines of logic crafted / Digital creator"
CODEX,Manuscript,"Ancient book preserved / Bound pages hold old wisdom / Historical text"
COMBO,Combination,"Mix of things as one / Meal deal bundled together / Fusion achieved"
CONED,Marked,"Traffic barriers placed / Ice cream shape was formed / Orange warning set"
CONGA,Dance,"Line follows the beat / Cuban rhythm moves the hips / Party snake forms up"
COOED,Murmured,"Dove sound soft and low / Baby voice expressed content / Gentle utterance"
COPAY,Fee,"Insurance portion / Patient's share of medical cost / Out of pocket paid"
COPED,Managed,"Dealt with difficulty / Handled what life presented / Got through somehow"
CORED,Hollowed,"Center was removed / Apple's seeds extracted clean / Middle taken out"
CORGI,Dog,"Short legs long body / Queen's favorite companion / Welsh herding breed"
CORKY,Woody,"Texture of bottle stopper / Wine tainted by bad cork / Bark-like quality"
CORPS,Unit,"Military body / Organized group assembled / Team with purpose formed"
COUTH,Refined,"Sophistication shown / Manners polished and correct / Opposite of crude"
COWED,Intimidated,"Fear made them submit / Bullied into compliance / Spirit was broken"
COXED,Steered,"Rowing boat directed / Commands given to the crew / Navigation done"
CREMA,Foam,"Espresso's golden top / Emulsified oils float / Coffee's crowning layer"
CROON,Sing,"Soft melodic voice / Romantic ballad style / Smooth and tender sound"
CUBBY,Nook,"Small compartment waits / Storage space for little things / Cozy hiding spot"
CUBED,Diced,"Cut into small blocks / Three-dimensional squares made / Geometric chopping"
CUBIT,Measure,"Ancient length from elbow / Forearm measurement used / Biblical standard"
CUING,Signaling,"Prompting the response / Giving the indication / Signal being sent"
CUPID,Archer,"Love's arrow takes flight / Cherub aims at willing hearts / Romance personified"
CURED,Healed,"Disease was defeated / Preservation method used / Health was restored"
CURER,Healer,"One who makes things well / Meat preserver at the craft / Remedy provider"
CUSHY,Easy,"Comfortable position / Soft assignment received / Effort minimal"
CUTER,Prettier,"More adorable than / Comparison of sweetness / Attractiveness increased"
CUTUP,Joker,"Class clown entertains / Mischief maker brings the laughs / Prankster at their best"
DACHA,Cottage,"Russian country home / Summer retreat from city / Escape to nature"
DAFFY,Silly,"Crazy in fun way / Looney Tunes duck behavior / Absurdly amusing"
DARED,Challenged,"Courage was tested / Risk was accepted boldly / Fear was confronted"
DATED,Outdated,"Time has moved beyond / Romance was pursued with them / No longer current"
DATER,Suitor,"One seeking romance / Going out with potential / Relationship hunter"
DAZED,Stunned,"Shock left them confused / Unable to think clearly / Bewildered and lost"
DECAF,Coffee,"Caffeine removed here / Morning drink without the buzz / Sleepless no more"
DEFOG,Clear,"Mist removed from glass / Visibility restored / Condensation gone"
DEIFY,Worship,"Making into god / Exalting to divine status / Reverence extreme"
DEIST,Believer,"God exists but distant / Reason guides faith / Creator who stepped back"
DICED,Chopped,"Small cubes were created / Knife work precise and even / Vegetables prepared"
DICER,Cutter,"Tool for making cubes / One who chops with precision / Kitchen gadget works"
DIKED,Walled,"Embankment was built / Water held back by barrier / Flood protection made"
DINED,Ate,"Meal was consumed well / Eating with some elegance / Supper was enjoyed"
DINKY,Small,"Tiny and unimpressive / Insignificant in size / Compact to a fault"
DIPPY,Silly,"Scatterbrained behavior / Foolish in an endearing way / Ditzy describes well"
DITSY,Flighty,"Scattered in thought / Silly and disorganized / Airhead tendencies"
DITZY,Scatterbrained,"Mind wanders too much / Focus is hard to maintain / Flaky in manner"
DIVAN,Couch,"Low sofa awaits / Middle Eastern furniture / Reclining comfort"
DIVED,Plunged,"Headfirst entry made / Descent into water swift / Downward motion took"
DIVOT,Hole,"Turf chunk displaced / Golfer's swing left this mark / Ground needs repair now"
DIVVY,Split,"Divide up the shares / Distribution fairly done / Portions handed out"
DOGGO,Hidden,"Lying low in wait / Staying quiet out of sight / Australian slang"
DOGGY,Canine,"Puppy styled position / Pet term of affection / Four-legged friend waits"
DOILY,Mat,"Lace decorates table / Delicate paper or cloth / Grandmother's touch"
DOLED,Distributed,"Portions handed out / Rationed carefully to each / Shares were allocated"
DOLMA,Food,"Stuffed grape leaves wait / Mediterranean delight / Rice and meat inside"
DOMED,Rounded,"Curved roof tops the space / Hemisphere shape achieved / Arched covering made"
DOOZY,Remarkable,"Something special here / Outstanding or difficult / Noteworthy indeed"
DOPED,Drugged,"Substances were used / Performance was enhanced / Intoxication came"
DOPER,User,"One who takes the drugs / Substance abuser identified / Addict in the making"
DORKY,Awkward,"Socially ungainly / Nerdy in endearing way / Uncool but charming"
DOSED,Medicated,"Amount was given / Quantity carefully measured / Treatment administered"
DOTED,Adored,"Excessive love shown / Lavishing attention full / Spoiling with affection"
DOTTY,Eccentric,"Slightly mad perhaps / Quirky in behavior shown / Charming oddity"
DOULA,Supporter,"Birth companion guides / Labor support provided / Comfort through the pain"
DOUSE,Drench,"Water poured on flame / Soaking wet completely / Extinguished by liquid"
DOWSE,Search,"Divining rod dips / Water sought beneath the ground / Mystical finding"
DOXED,Exposed,"Private info leaked / Identity revealed online / Personal data shared"
DOZED,Napped,"Light sleep took over / Drifting off momentarily / Consciousness faded"
DOZER,Bulldozer,"Heavy machine pushes / Earth moved by this mighty beast / Construction's workhorse"
DROID,Robot,"Android shortened down / Mechanical being works / Star Wars made it famous"
DUCAT,Coin,"Old European gold / Historical currency / Medieval money"
DUCKY,Fine,"Everything is great / Satisfactory and good / Rubber bath toy floats"
DUKED,Fought,"Fists flew in the brawl / Battled it out with punches / Combat was engaged"
DUPED,Fooled,"Trick succeeded well / Deception caught the target / Scam worked perfectly"
DWEEB,Nerd,"Social awkwardness / Studious and unfashionable / Geek without the cool"
EARED,Handled,"Possessed the organs / Corn with its husks attached / Listening capable"
EASED,Relieved,"Tension was reduced / Transition made more gentle / Comfort was increased"
EBBED,Receded,"Tide pulled back to sea / Flow diminished over time / Energy decreased"
EBOOK,Digital,"Pages on the screen / Literature electronic / Reading modernized"
EDEMA,Swelling,"Fluid fills the tissue / Medical condition named / Puffiness appears"
EDGED,Bordered,"Boundary was approached / Margin crept along the line / Sharpened tool prepared"
EDGER,Tool,"Lawn border trimmer / Creates the clean garden line / Grass meets sidewalk neat"
EDUCE,Extract,"Drawing out the truth / Information coaxed from source / Eliciting facts"
EGGED,Urged,"Encouragement given / Incited to take action / Pushed to do the thing"
EIDER,Duck,"Down feathers so soft / Northern sea bird provides warmth / Comforter's filling"
EMERY,Abrasive,"Nail file material / Rough surface smooths the edges / Grinding powder used"
EMOJI,Symbol,"Digital faces / Expression without the words / Tiny pictures speak"
EMOTE,Express,"Feelings shown with force / Theatrical display / Emotions released"
ENDED,Finished,"Conclusion arrived / What was ongoing now stopped / Completion achieved"
ERRED,Mistook,"Mistake was committed / Judgment failed in the moment / Wrong path was taken"
ETHYL,Alcohol,"Chemical compound / Fuel additive named / Organic chemistry"
EXPAT,Emigrant,"Living abroad now / Home country left behind / Foreign resident"
EXUDE,Emit,"Oozing from within / Confidence pours from the pores / Radiating out"
EXURB,Suburb,"Beyond the suburbs / Prosperous outlying zone / Commuter distance"
FACED,Confronted,"Challenge was met head on / Direction was oriented / Covered with surface"
FADED,Dulled,"Color lost its strength / Brightness diminished with time / Vibrancy departed"
FADER,Slider,"Volume control moves / Sound mixing equipment / Adjustment device"
FAKED,Pretended,"Authenticity missing / Deception was performed / Not the real thing"
FAKER,Imposter,"One who pretends false / Authenticity they lack / Fraud in disguise"
FAKIR,Ascetic,"Holy man begs alms / Indian mystic performs / Spiritual seeker"
FAMED,Famous,"Reputation spread / Well known throughout the land / Celebrity achieved"
FARED,Managed,"How did it go then / Progress through the situation / Outcome was achieved"
FATED,Destined,"Predetermined path / Meant to be from the start / Unavoidable end"
FATWA,Ruling,"Islamic decree / Religious opinion given / Legal judgment made"
FAXED,Transmitted,"Document was sent / Phone line carried the image / Old technology"
FAZED,Bothered,"Disturbed by the event / Composure was affected / Rattled by the thing"
FECES,Waste,"Bodily excrement / What remains after digestion / Unpleasant but real"
FEINT,Fake,"Deceptive movement / Pretend attack draws response / Misdirection works"
FETED,Celebrated,"Honored with a party / Praised and entertained well / Recognition given"
FILCH,Steal,"Pilfering small things / Petty theft committed / Sneaky taking done"
FILED,Organized,"Documents arranged / Smooth surface was created / Walking single line"
FINED,Penalized,"Money was demanded / Punishment for violation / Ticket was issued"
FIRED,Dismissed,"Job was terminated / Bullets left the weapon / Flames were ignited"
FIRTH,Inlet,"Scottish water arm / Estuary by another name / Sea meets the land"
FIXED,Repaired,"Broken now made whole / Gaze was held without moving / Outcome was arranged"
FLIED,Flew,"Ball went to outfield / Past tense for baseball only / Caught for the out"
FLOWY,Loose,"Fabric moves with grace / Draping without restriction / Fluid silhouette"
FLUKY,Lucky,"Chance brought the success / Unexpected good fortune / Accidental win"
FLYBY,Pass,"Spacecraft zooms past / Quick visit without landing / Brief encounter made"
FOGEY,Conservative,"Old-fashioned person / Stuck in the ways of the past / Resistant to change"
FOGIE,Fuddy-duddy,"Elderly mindset / Out of touch with current times / Behind the era"
FOLIC,Acid,"B vitamin named / Pregnancy supplement needed / Cell growth supported"
FOLKY,Rustic,"Traditional music style / Acoustic and earthy sound / Simple and homespun"
FOUNT,Source,"Fountain of knowledge / Origin from which things flow / Spring of abundance"
FRACK,Extract,"Hydraulic fracturing / Oil and gas forced from rock / Controversial method"
FRISE,Curly,"Lettuce leaf type named / French for curled decoration / Architectural trim"
FRIZZ,Fluff,"Hair rebels with static / Humidity's enemy / Uncontrolled texture"
FROSH,Freshman,"First year student starts / College newcomer arrives / Beginning the journey"
FRUMP,Dowdy,"Unfashionable dresser / Drab and unattractive style / Fashion challenged soul"
FRYER,Pan,"Cooking vessel waits / Deep fat preparation / Chicken's destiny"
FUBAR,Broken,"Military slang / Situation beyond repair / Messed up completely"
FUDGY,Rich,"Dense chocolate texture / Brownies at their finest / Gooey perfection"
FUMED,Raged,"Anger filled the air / Smoke rose from the process / Fury was expressed"
FUNGO,Bat,"Practice hit achieved / Coach tosses ball to self / Baseball training tool"
FUSED,Merged,"Joined together now / Melted into single mass / Combination formed"
FUSTY,Musty,"Stale and old-fashioned / Moldy smell pervades the space / Outdated and damp"
FUTON,Bed,"Japanese mattress / Folds for daytime storage / Dual-purpose sleep"
GABBY,Talkative,"Words never stop flowing / Chatter fills up all the space / Conversation queen"
GABLE,Roof,"Triangular peak / Architecture's pointed end / House's distinctive top"
GAMED,Played,"System was exploited / Strategy was employed / Competition engaged"
